Example ID,Source,Figure ID,Data Provider,PI,Date Received,Data Measurment Published,Type,Carbon,Nitrogen,Phosphorus,Hydrogen,Titanium,Gold,Lithium,Nickel,Cobalt,Manganese,Oxygen,Cadmium,Selenium,Sulfur,Silicon,Platinum,Zinc,Indium,Selenium,Aluminum,Total Comp Knowledge,Particle Diameter Dimension 1 (nm),Particle Diameter Dimension 2 (nm),Particle Diameter Dimension 3 (nm),Capping Agent,Particle Shape,Concentration (mg/L),Surface Area (NMC) (m2/g),pH,Medium,Natural Organic Matter (mg/L),Purification Method,Total Centrifugation Steps,Exposure Time (min),Bacteria,Gram,Identity,Mutation,Prior Exposure,Method,Viability_Fraction,Error,Comments
20,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.06,0.14,0.06,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,6.25 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.76 ,,
21,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.06,0.14,0.06,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,0.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.07 ,,
22,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.04,0.18,0.04,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,100.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.28 ,,
23,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.04,0.18,0.04,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,50.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.23 ,,
24,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.04,0.18,0.04,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,25.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.40 ,,
25,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.04,0.18,0.04,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,12.50 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.53 ,,
26,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.04,0.18,0.04,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,6.25 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.73 ,,
27,10.1021/acs.analchem.6b04652,3c,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,NMC,0,0,0,0,0,0,0.25,0.04,0.18,0.04,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,0.00 ,127.20,7.25,Minimal Medium,0,"1 C H2O,  4 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.07 ,,
28,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,SB 491,No,GBV,1.00 ,,
29,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,0.50 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,SB 491,No,GBV,0.73 ,0.00 ,
30,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,5.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,SB 491,No,GBV,0.46 ,,
31,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,10.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,SB 491,No,GBV,0.19 ,,
32,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,tagE,No,GBV,1.00 ,,
33,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,0.50 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,tagE,No,GBV,0.87 ,,
34,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,5.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,tagE,No,GBV,0.77 ,,
35,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,10.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,tagE,No,GBV,0.28 ,,
36,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,dltA,No,GBV,1.00 ,,
37,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,0.50 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,dltA,No,GBV,0.74 ,,
38,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,5.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,dltA,No,GBV,0.70 ,,
39,10.1021/acs.analchem.6b04652,3d,Tian Autumn Qiu,Christy Haynes,2018/9/18,2017/1/9,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,MPNH2,Sphere,10.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Positive,Bacillus subtilis,dltA,No,GBV,0.45 ,,
40,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.09,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,100.00 ,127.20,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.29 ,,
41,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.09,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,50.00 ,127.20,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.39 ,,
42,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.09,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,25.00 ,127.20,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.52 ,,
43,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.09,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,13.00 ,127.20,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.58 ,,
44,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.09,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,6.00 ,127.20,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.75 ,,
45,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.09,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,5,70,70,None,Sheet,0.00 ,127.20,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.16 ,,
46,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.09,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,33,40,47,None,Rectangular Prism,100.00 ,24.32,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.56 ,,
47,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.09,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,33,40,47,None,Rectangular Prism,50.00 ,24.32,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.71 ,,
48,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.09,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,33,40,47,None,Rectangular Prism,25.00 ,24.32,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.83 ,0.05 ,
49,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.09,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,33,40,47,None,Rectangular Prism,13.00 ,24.32,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.84 ,0.10 ,
50,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.09,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,33,40,47,None,Rectangular Prism,6.00 ,24.32,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.98 ,,
51,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.09,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,33,40,47,None,Rectangular Prism,0.00 ,24.32,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.12 ,,
52,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,"7,000","11,000","15,000",None,Amorphous,1000.00 ,0.98,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.76 ,,
53,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,"7,000","11,000","15,000",None,Amorphous,500.00 ,0.98,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,0.90 ,,
54,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,"7,000","11,000","15,000",None,Amorphous,250.00 ,0.98,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.00 ,0.13 ,
55,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,"7,000","11,000","15,000",None,Amorphous,125.00 ,0.98,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.09 ,,
56,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,"7,000","11,000","15,000",None,Amorphous,63.00 ,0.98,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.15 ,,
57,10.1021/acsanm.8b00187,5,Natalie Hudson-Smith,Christy Haynes,2018/10/8,2018/4/2,NMC,0,0,0,0,0,0,0.25,0.08,0.08,0.08,0.50,0,0,0,0,0,0,0.00,0.00,0.00,T,"7,000","11,000","15,000",None,Amorphous,0.00 ,0.98,7.25,Minimal Medium,0,"2 C H2O,  3 C MeOH",5,180,Yes,Negative,Shewanella oneidensis,MR-1,No,GBV,1.18 ,,
58,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.80,4.80,4.80,PAH,Sphere,0.00 ,0.98,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
59,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.80,4.80,4.80,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.99 ,,
60,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.80,4.80,4.80,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.21 ,,
61,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.80,4.80,4.80,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.11 ,,
62,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.80,4.80,4.80,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.49 ,,
63,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.80,4.80,4.80,PAH,Sphere,0.03 ,0,7.40,HEPES Buffer,0,Diafiltration,0,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,0.01 ,,
64,10.1021/acs.analchem.6b04161,2,Tian Autumn Qiu,Christy Haynes,2018/10/6,2016/12/26,Gold,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,T,4.50,4.50,4.50,PAH,Sphere,0.00 ,0,7.40,HEPES Buffer,0,1 C H2O,1,15,Yes,Negative,Shewanella oneidensis,MR-1,No,CC,1.00 ,,
